Time (h),Temperature (degC)
0,7.999995971197721
1,8.00801889140826
2,8.014837383893047
3,8.026905291091353
4,8.041635299394292
5,8.056934638887249
6,8.073779961754841
7,8.090625284622506
8,8.107470607490054
9,8.126450806410585
10,8.146148286619802
11,8.165845766829122
12,8.185543247038353
13,8.205240727247423
14,8.224938207456875
15,8.244635687666053
16,8.264060784086865
17,8.283373129955566
18,8.302685475824104
19,8.321997821692879
20,8.341310167561407
21,8.360622513430123
22,8.37993485929884
23,8.399284634976706
24,8.418653183918067
25,8.438021732859248
26,8.457390281800478
27,8.476758830741657
28,8.496127379682909
29,8.515495928624219
30,8.534864477565472
31,8.554233026506644
32,8.573601575447771
33,8.592970124389103
34,8.61233867333035
35,8.631707222271588
36,8.65107577121285
37,8.669888524250407
38,8.688304448108436
39,8.70672037196643
40,8.725136295824768
41,8.74355221968274
42,8.76196814354076
43,8.780384067399055
44,8.798799991257024
45,8.817215915115199
46,8.835631838973214
47,8.854047762831447
48,8.872463686689501
49,8.890879610547609
50,8.909295534405707
51,8.927711458263795
52,8.946127382122024
53,8.964543305980074
54,8.982959229838272
55,9.001375153696381
56,9.019791077554556
57,9.038207001412593
58,9.056622925270693
59,9.075038849128825
60,9.09345477298685
61,9.111870696844916
62,9.130286620703055
63,9.14870254456121
64,9.167118468419345
65,9.18499197767376
66,9.202111374213073
67,9.219230770752215
68,9.236350167291402
69,9.253469563830793
70,9.270588960369997
71,9.287708356909343
72,9.304827753448476
73,9.321947149987828
74,9.339066546527146
75,9.356185943066464
76,9.373305339605587
77,9.390424736144999
78,9.407544132684139
79,9.424663529223459
80,9.441782925762782
81,9.458902322301963
82,9.476021718841276
83,9.493141115380437
84,9.510260511919782
85,9.527379908459167
86,9.544499304998252
87,9.561618701537553
88,9.578738098076718
89,9.595857494616089
90,9.612976891155384
91,9.630096287694643
92,9.647215684233831
93,9.664335080773053
94,9.681454477312437
95,9.69857387385176
96,9.715693270390881
97,9.732812666930519
98,9.749932063469549
99,9.767051460008602
100,9.784170856547968
101,9.801290253087346
102,9.81840964962652
103,9.835529046165865
104,9.852648442705208
105,9.869767839244385
106,9.886887235783718
107,9.904006632322842
108,9.921126028862131
109,9.938245425401421
110,9.955364821940574
111,9.97248421848001
112,9.989603615019307
113,10.00672301155846
114,10.02384240809782
115,10.040961804636895
116,10.058081201176279
117,10.075200597715543
118,10.092319994254861
119,10.109439390794062
120,10.126558787333371
121,10.143536175710862
122,10.15904561933422
123,10.174555062957506
124,10.1900645065807
125,10.2055739502039
126,10.221083393827286
127,10.236592837450667
128,10.252102281073961
129,10.267611724697256
130,10.28312116832061
131,10.298630611943949
132,10.314140055567188
133,10.32964949919042
134,10.345158942813612
135,10.360668386437007
136,10.37617783006024
137,10.391687273683653
138,10.407196717306828
139,10.422706160930172
140,10.438215604553521
141,10.453725048176745
142,10.469234491799822
143,10.484743935423278
144,10.500253379046656
145,10.515762822669883
146,10.531272266293268
147,10.546781709916475
148,10.562291153539697
149,10.577800597163096
150,10.593310040786163
151,10.6088194844096
152,10.624328928032817
153,10.639838371656202
154,10.655347815279589
155,10.670857258902817
156,10.686366702525957
157,10.701876146149347
158,10.717385589772542
159,10.732895033395902
160,10.748404477019152
161,10.763913920642423
162,10.779423364265766
163,10.794932807889042
164,10.810442251512491
165,10.825951695135435
166,10.84146113875891
167,10.856970582382026
168,10.87248002600541
169,10.887989469628964
170,10.903498913252067
171,10.919008356875274
172,10.934517800498833
173,10.950027244122056
174,10.965536687745194
175,10.981046131368492
176,10.996555574991552
177,11.012065018615106
178,11.027574462238453
179,11.043083905861735
180,11.058593349484878
181,11.074102793108418
182,11.089612236731409
183,11.105121680354705
184,11.120631123977978
185,11.136140567601467
186,11.151650011224781
187,11.167159454847926
188,11.182668898471158
189,11.198178342094499
190,11.213687785717864
191,11.229197229341114
192,11.244706672964577
193,11.260216116587925
194,11.275725560211164
195,11.291235003834322
196,11.306744447457772
197,11.322253891080871
198,11.337763334704304
199,11.353272778327518
200,11.368782221950857
201,11.384291665574105
202,11.399801109197334
203,11.415310552820452
204,11.430819996444022
205,11.44632944006721
206,11.461838883690543
207,11.477348327313717
208,11.49285777093712
209,11.508367214560467
210,11.523876658183882
211,11.539386101806633
212,11.554895545430188
213,11.570404989053491
214,11.585914432676931
215,11.601423876300068
216,11.616933319923497
217,11.632442763546726
218,11.647952207169935
219,11.663461650793398
220,11.678971094416566
221,11.69448053803975
222,11.709989981663213
223,11.725499425286426
224,11.741008868909804
225,11.756518312533112
226,11.772027756156286
227,11.78753719977957
228,11.803046643402801
229,11.818556087026167
230,11.834065530649221
231,11.849574974272686
232,11.865084417895947
233,11.880593861519335
234,11.895101300767859
235,11.908269066058782
236,11.921436831349785
237,11.934604596640598
238,11.9477723619314
239,11.960940127222264
240,11.974107892513166
241,11.987275657803949
242,12.000443423094808
243,12.01361118838591
244,12.026778953676736
245,12.039946718967544
246,12.053114484258366
247,12.066282249549204
248,12.07945001484014
249,12.092617780130798
250,12.105785545421888
251,12.118953310712604
252,12.132121076003688
253,12.145288841294603
254,12.158456606585295
255,12.171624371876106
256,12.184792137167014
257,12.197959902457885
258,12.211127667748704
259,12.224295433039696
260,12.23746319833055
261,12.25063096362147
262,12.263798728912244
263,12.276966494203313
264,12.290134259494097
265,12.303302024784983
266,12.316469790075908
267,12.329637555366574
268,12.342805320657643
269,12.355973085948369
270,12.369140851239102
271,12.382308616530223
272,12.395476381821021
273,12.408644147111922
274,12.421811912402692
275,12.43497967769376
276,12.448147442984599
277,12.461315208275357
278,12.474482973566218
279,12.487650738857303
280,12.500818504148167
281,12.513986269438947
282,12.527154034729817
283,12.54032180002056
284,12.553489565311557
285,12.566657330602315
286,12.579825095893156
287,12.592992861183989
288,12.606160626475058
289,12.619328391765702
290,12.632496157056545
291,12.645663922347548
292,12.658831687638418
293,12.67199945292926
294,12.685167218220151
295,12.698334983511009
296,12.711502748801873
297,12.724670514092663
298,12.737838279383658
299,12.75100604467469
300,12.764173809965326
301,12.777341575256232
302,12.790509340547064
303,12.803677105838116
304,12.816844871128978
305,12.83001263641974
306,12.84318040171082
307,12.856348167001327
308,12.869515932292565
309,12.88268369758317
310,12.895851462873981
311,12.909019228165056
312,12.922186993455675
313,12.935354758746547
314,12.948522524037601
315,12.961690289328343
316,12.974858054618998
317,12.988025819910302
318,13.001193585201
319,13.0143613504919
320,13.02752911578271
321,13.04069688107348
322,13.053864646364488
323,13.067032411655294
324,13.080200176946253
325,13.093367942237025
326,13.106535707527868
327,13.119703472818822
328,13.13287123810957
329,13.146039003400452
330,13.159206768691476
331,13.172374533982497
332,13.185542299273168
333,13.19871006456414
334,13.21187782985496
335,13.22504559514591
336,13.238213360436779
337,13.251381125727631
338,13.264548891018274
339,13.277716656309472
340,13.290884421600197
341,13.304052186891067
342,13.31721995218206
343,13.330387717472718
344,13.343555482763522
345,13.35672324805457
346,13.369891013345345
347,13.383058778636247
348,13.396226543927172
349,13.409394309217932
350,13.422562074508958
